Time,Score
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
3.12,5
